clothing_style,top_clothing,bottom_clothing,hand_accessories,head_accessories,shoes,neck_accessories,glasses
Business Casual,Solid Plain,Straight fit,Dress Watch,Business Casual Hat,Business Casual Shoes,Business Casual Necktie,Aviator Glasses
Casual Elegant,Solo tee,Straight jeans,Vintage watch,Cap,Sneakers,Basic chain necklace,Simple round glasses
Indian Traditional Wear,Banarsi Kurta,White Cotton Dhoti Pant,Bangles,Pahni cap,White Sneakers,Gold Chain,Wayfarer
Vintage and Retro Inspired,Checkered-design polo shirt,Straight-leg jeans,Watches,Baseball Cap,High-top sneakers,Chain necklaces,Geometric-shaped glasses
Business Casual,Solid Shirt,Solid Pants,Watches,Solid Hat,Oxfords,Solid Necktie,Solid Glasses
Casual Wear,Square Neckline,Straight Leg Jeans,Contemporary Leather Bracelet,Contemporary Fedora Hat,High Top Sneakers,Contemporary Necklace,Contemporary Square Glasses
Streetwear,T-shirt,Jeans,Belt,Baseball cap,Trainers,Scarf,Sunglasses
Formal Wear,Vest,Trousers,Bow Tie,Hat,Loafers,Tie,Classic
Casual Elegant,Solid Color Shirt,Solid Color Jeans,Ring,Men's Cap,Brown Loafers,Men's Casual Necklace,Blue Round Glasses
Business Casual,Button Front Shirt,Chinos,Leather Belt,Fedora Hat,Monk Strap Shoes,Tie,Rounded Square
Casual Elegant,Knit Sweater,Grey Trousers,Bracelets,White Fedora,Leather Oxfords,Silk Scarf,Aviator Glasses
Formal Wear,Suits,Trousers,Formal Gloves,Formal Hat,Formal Shoes,Formal Neck Tie,Formal Glasses
Streetwear,Skinny Pants,Regular Jeans,Bracelets,Hat,Sneakers,Necklace,Round Frame Glasses
Streetwear,Fitted Long Sleeve Crew Neck T-Shirt,Stretchable Relaxed Fit Denim Jeans,Black Minimalist Watch,Black Minimalist Beanie,Black Leather Sneakers,Black Miniature Cross Necklace,Black Aviator Sunglasses
Casual Elegant,"Solid color, plain henley, polo","Chinos, faded",Bracelet,Tie,Boat shoes,Scarf,Sunglasses
Business Casual,Collared Shirt,Slacks,Watch,Regular Hat,Oxfords,Tie,Regular Glasses
Business Casual,"Solid-colored, collared, button-down shirt",Pants,No accessories needed,No accessories needed,Derby shoes,Necktie,Eyeglasses
Business Casual,Collared Shirt,Chinos,Hair Ties,Beanies,Sneakers,Necklaces,Aviator Glasses
Sportswear,Sweatshirt,Mid-rise skinny jeans,Bracelets,Beanies,High-top sneakers,Necklaces,Sunglasses
Casual Wear,Solid Plain T-Shirt,Solid Plain Chino Trousers,Layered Necklace,Hat,Sport Shoes,Thin Necklace,Sunglasses
Streetwear,Casual,Casual,Gloves,Hats,Sneakers,Necklaces,Sunglasses
Sportswear,Regular Fit Polo Shirts,Regular Fit Chinos,Brown Leather Bracelet,Brown Leather Beanie,Navy Leather Sneakers,White Solid Collar,Round Glasses
Casual Wear,Printed T-Shirt,Solid Black Jeans,Black Watch with Silver Bracelet,Black Fedora,Black Suede Chelsea Boots,Black Bow Tie,Black Square Framed Glasses
Business Casual,Crew Neck Sweater,Corduroy Trousers,Leather Gloves,Wool Fedora Hat,Brown Oxfords,Blue Oxford Scarf,Smoke Tortoise Glasses
Vintage and Retro Inspired,V-Neck,Bootcut Jeans,"Brown Leather Belt, Plain Black Watch, Brown Leather Bracelet, Plain Black Watch Band, Black Leather Bracelet",Vintage Fedora Hat,"Suited to most outfits, mainly black leather motorcycle boots",Black Leather Neck Chain,Brown Wooden Frames
Sportswear,Hooded sweatshirts,Track pants,Bracelets,Baseball caps,Sneakers,Scarves,Aviator sunglasses
Casual Wear,"With a solid color print, the long sleeve crew neck t-shirt has a relaxed fit.","With a solid color print, the straight fit shorts are low waisted.",A blue colored leather bracelet,A blue colored leather cap,"With a solid color print, the black and white sneakers have a rubber sole and a lace-up front.",A blue colored leather necklace,Metal frame glasses with a solid color print
Casual Elegant,Solid-colored T-shirt,Slim-fit Jeans,Rubberized Bracelet,Beanie,White Sneakers,Polkadot Tie,Blue Tinted Aviator Sunglasses
Preppy Style,Short-Sleeve Shirt,Chino Pants,Tennis Accessories,Sports Cap,Sneakers,Preppy Necklace,Aviators
Streetwear,T-shirt with a graphic print,Skinny Jeans in blue,Bracelets,Hat,Sneakers,Necklace,Sunglasses
Vintage and Retro Inspired,A round neck T-shirt,Black slim fit jeans,Black leather gloves,A black leather cap,Black leather boots,Black leather necklace,Black Aviator glasses
Casual Wear,Short sleeve t-shirt with a graphic print,Casual fit jeans,Rings,Beanie,Low rise sneakers,Necklace,Round glasses
Casual Elegant,Chest pockets with button closure,Tapered legs with button closure,Watches,Caps,Sneakers,Collars,Round Frames
Preppy Style,Casual,Casual,Sweatbands,Baseball Cap,Trainers,Necklace,Round Glasses
Casual Elegant,Collared shirt with pocket,Pants with a zipper,"Ring, Watch",Beanie,Sneakers,Scarf,Round
Business Casual,Solid Check Shirt,Solid Grey Chinos,Leather Belt,Leather Cap,Brown Loafers,Necktie,Brown Aviator Glasses
Sportswear,Long sleeve hoodie,Straight fit jeans,None,Baseball cap,Low top sneakers,None,Aviator Shades
Sportswear,T-Shirt,Sweatpants,Wristwatch,Baseball cap,Sneakers,Necklace,Sporty Glasses
Business Casual,Fitted Button-Up Shirt,Fitted Chinos,Metal Wristwatch,Flat Cap,Brown Dress Shoes,Necktie,Round Metal Framed Glasses
Outdoor and Adventure Wear,Solid Black Vest,Solid Faded Black Jeans,Brown Leather Bracelet,Fleece Beanie Hat,Suede Black Boots,Silver Chain Necklace,Black Aviator Sunglasses
Outdoor and Adventure Wear,Solid Light-Blue Short-Sleeve Polo Shirt,Solid Light-Blue Jeans,Pair of Brown Leather Loafers,Brown Men's Beanie Hat,Pure White Running Shoes,Cable-Knit Light-Blue Neck Scarf,Brown Round Framed Plastic Glasses
Outdoor and Adventure Wear,Puffer Jacket,Hiking Pants,Leather Gloves,Beanie,Rugged Hiking Shoes,Neck Gaiter,Oversized Square Sunglasses
Indian Traditional Wear,Kurti,Pants,Watch,Turban,Sandals,Necklace,Sunglasses
Preppy Style,Polos,Fitted chinos,Brown leather belts and Black leather belts,Baseball Caps,Sneakers,Black and white neckties,Black and brown glasses
Casual Elegant,Full-Sleeves,Slim Fit Jeans,Watch and Wallet,Beanie,Sneakers,None,Round
Casual Elegant,Formal Shirt,Formal Trousers,Watch,Tie,Formal Shoes,Necktie,Formal Glasses
Casual Wear,Long Sleeve T-shirt,Denim Jeans,Watch,Cap,White Sneakers,Chain,Geeky Glasses
Indian Traditional Wear,Kurta,Pants,Ring,Head Scarf,Flat Shoes,Necklace,Pick Glasses
Casual Elegant,Short sleeve button down shirt,Casual straight-leg jeans,Black leather watch,Analog watch,Black leather sneakers,White layered chain,Black rectangular glasses
Business Casual,Ben Sherman Black Checked Shirt,Diesel Black Slim Jeans,Ben Sherman Brown Leather Belt,Ben Sherman Black Felt Hat,Diesel Black Boots,Ben Sherman Black Skinny Tie,Ray-Ban Light Havana Aviator Sunglasses
Casual Wear,Men's T-Shirt,Men's Denim Jeans,Men's Watch,Men's Cap,Men's Sneakers,Men's Tie,Men's Glasses
Casual Wear,Casual Shirt,Straight-fit Long-length Trousers,Rustic Wooden Watch and Rustic Wooden Bracelet,Men's Leather Aviator Hat,White Canvas Sneakers,Double-layer Necklace,Black Rectangular Metal Framed Glasses
Business Casual,Solid Slim Fit Blue Pinstripe Suit,Solid Black Trousers,Black Leather Belt,Black Trench Coat,Black Patent Leather Oxfords,Tie,Black Wire Frame Glasses
Sportswear,Casual button down shirt,Straight Chinos,Leather watch with stainless steel strap,Black baseball cap,Blue/White Nike Air Max 270,Silver chain,Black square frames
Casual Elegant,Slim-Fit Shirt,Chino Pants,Oxford Shoes,Classic Fedora Hat,Sneakers,Polo Neck T-Shirt,Aviator Sunglasses
Sportswear,"[['T-Shirt'], ['Polos'], ['Hoodies'], ['Sweatshirts'], ['Sweaters'], ['Minimal T-Shirt'], ['Slim T-Shirt'], ['Crewneck T-Shirt'], ['V-Neck T-Shirt']","['Casual Jeans'], ['Funky Jeans'], ['Loose Jeans'], ['Slim Jeans'], ['Relaxed Jeans'], ['Tapered Jeans'], ['Skinny Jeans'], ['Straight Jeans'], ['Bootcut Jeans'], ['Wide leg",['Rings'],['Trackcap'],"[['Sneakers'], ['Sport Shoes']]",['Necklaces'],['Sunglasses']
Casual Wear,Solid Shirt,Dark Jeans,Watches,Cap,Sneakers,Necklace,Sunglasses
Casual Wear,Oversized Sweater,Casual Pants,Cap,Beanies,Sneakers,Scarf,Oversized Sunglass
Business Casual,Solid Color Shirt,Tapered Trousers,Gold Watch,Leather Hat,Derby Shoes,Gold Chain,Gold Stud Glasses
Business Casual,Shirt,Chinos,Watch,Cap,Dress Shoes,Tie,Aviator
Business Casual,Slim Fit Red Polo Shirt,Gray Tapered Slim Fit Pants,Simple Black Watch,Simple Black Tie,Simple Black Oxford Shoes,Simple Black Bow Tie,Simple Black Round Glasses
Business Casual,Fitted Polo Shirt,Slim Fit Jeans,Black Leather Belt,Classic Black Fedora,Black Oxfords,Silver Necklace,Black Aviator Sunglasses
Casual Wear,Button-up Solid T-shirt - White,Slim-fit Jeans,Black leather belt,Cap,Black leather boots,Black tie,Black framed glasses
Casual Wear,T-SHIRT,Trousers,Necklace,Flat Cap,Trainers,Scarf,Aviator Glasses
Sportswear,Solid multi-colored,Solid multi-colored,Bangles,Birdcage Hat,Sneakers,Scarf,Rectangle
Business Casual,Collared Shirt,Slim-Fit Chinos,Leather Belt,Leather Hat,Oxford Shoes,Necktie,Semi-Rimless Glasses
Casual Wear,Polo Shirt,Denim Jeans,Leather Watch,Baseball Cap,Sneakers,Choker,Sunglasses
Sportswear,T-shirt,Jeans,Watches and Rings,Cap,Sneakers,Scarf,Sunglasses
Sportswear,Sweatshirt,Track pants,Bracelet,Cap,Sneaker,Scarf,Sunglasses
Sportswear,Sporty shirt,Sporty shorts,Sporty watch,Leather hat,Sporty sneakers,Sporty necklace,Sporty glasses
Sportswear,Sleeveless Top,Jeans,Wrist Watch,Sports Cap,Trainers,Necklace,Sunglasses
Sportswear,Tee,Short,Bracelet,Baseball cap,Running shoe,Scarf,Round
Vintage and Retro Inspired,Button up shirt with a side split hem,Slim-fit khaki pants,Leather bracelet,Casual Fedora,Low-cut brown leather oxford,Necklace with a pendant,Black metal frame
Business Casual,3 Button Blazer,Grey Pants,Metal Watch,Leather Belt,Brown Oxfords,Tie,Black Frames
Business Casual,Casual Shirts,Casual Pants,Bracelets,Beanie,Casual Shoes,Necklaces,Classic Frames
Sportswear,Standard cut,Standard cut,Rings,Watch,High-rise boots,Chain,Aviator
Preppy Style,Solid Color Polo Shirt,Solid Color Chinos,Brown Leather Bracelet,Brown Leather Fedora,Brown Leather Oxfords,Brown Leather Bolo Tie,Wayfarer glasses
Sportswear,Athletic top with graphic print,Athletic shorts in a light grey color,Sports watch and sweatbands,Baseball cap,White sneakers,Necklace with a pendant,Sunglasses with a dark grey or black frame
Casual Elegant,Shirt,Pants,Ring,Cap,Sneakers,Necklace,Glasses
Casual Wear,Crew neck tee,Casual baggy jeans,Hand bracelet,Baseball cap,Sneakers,Necklace,Sunglasses
Preppy Style,Solid color top,Casual Pants,Wrist Watch,Solid color cap,White canvas shoes,Solide Color Scarf,Solid color Glasses
Streetwear,Solid White T-Shirt,Black Jeans,Gold Ring,Black Beanie,Black Running Shoes,Gold Chain,Black Aviator Sunglasses
Business Casual,Slim-fit dress shirt with a spread collar,Dress pants,Brown leather belt,Grey thick-rimmed glasses,Brown leather dress shoes,Black casual tie,Brown cat-eye glasses
Vintage and Retro Inspired,Button Up Shirt,Tapered or Slim Fit Jeans,Watch,Bowler or Fedora Hat,Chukka Boots or Chelsea Boots,Tie,Round or Oval Framed Glasses
Preppy Style,Graphic T-shirt,Cuffed Jeans,Plain Ring,Baseball Cap,Sneakers,Necklace,Rectangle Glasses
Casual Elegant,Button-Up Shirt,Casual Trousers,Leather Watch,Classic Fedora,Oxfords,Silk Neck Tie,Aviators
Casual Wear,Short sleeve shirt,Shorts,Bracelet,Cap,Sneakers,Necklace,Round glasses
Business Casual,Tailored,Chinos,Ring,Fedora Hat,Loafers,Necklace,Horn-Rimmed Glasses
Casual Elegant,Slim Fit,Bootcut,funky rings,sporty cap,Sneakers,funky necklaces,funky glasses
Casual Elegant,Chino Pants,Chinos,Watch,Watch,Sneakers,Tie,Round Frames
Casual Wear,Long-Sleeve Shirt,Casual Pants,None,None,Sneakers,None,Sunglasses
Business Casual,A polo shirt,A light colored khaki cotton blend trousers,A pair of a brown leather watch and a pair of leather gloves,A brown leather fedora hat,A pair of black leather Oxford shoes,A blue silk tie,A pair of black rimmed glasses
Casual Wear,T-Shirt,Jeans,"Belt, Watch",Cap,Sneakers,Necklace,Sunglasses
Casual Elegant,Oversized Button-Up Shirt,Oversized Chinos,Brown Leather Bracelet,White Fedora Hat,White Low Top Sneakers,White Collar Shirt,Black Round Horn-Rimmed Glasses
Casual Elegant,Solid T-Shirt,Solid Jeans,Analog Watch,Beanie,Sneakers,Skinny Necklace,Sunglasses
Business Casual,Oxford shirt,Chinos,Leather belt,Leather shoes,Oxford shoes,Leather tie,Black glasses
Streetwear,Printed T-shirt,Printed Track Pants,Sports Watch,Cap,Sneakers,Chain,Sporty Glasses
Sportswear,Slim-Fit Designer T-shirt,Slim-Fit Jeans,Wristwatch,Cap,Sneakers,Necklace,Semi-rimless
Casual Elegant,woven shirt,straight leg jeans,woven bracelet,cap,sneakers,collar necklace,classic
Sportswear,Regular-fit Shirt,Jeans,"Ring, Bracelet",Crewneck Beanie,White High-top Sneaker,Necklace,Semi-Rimless
Streetwear,Short Sleeve T-shirt,Jeans,Rings,Baseball Hat,Running Shoes,Chain,Sunglasses
Streetwear,Basic tees,Basic jeans,Basic watches,Basic caps,Basic sneakers,Basic necklaces,Basic glasses
Sportswear,Slim fit long sleeve t-shirt,Slim fit jeans,Sporty bracelet,Baseball cap,Sneakers,None,Sporty glasses
Casual Elegant,Slim fit shirt,Slim fit jeans,"[4, 13, 15]","[0, 2, 3, 6, 8, 10, 11, 12, 13, 14, 17, 19, 20, 21, 23, 24, 25,","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 1","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18,","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 1"
Indian Traditional Wear,BROCADE PANTS,DHOTI PANTS,BROCADE BELT,BROCADE TURBAN,BROCADE SANDALS,BROCADE NECKLACE,BROCADE GLASSES
Business Casual,Collarless Blazer,Tapered Chinos,Golden wrist watch,"""Black Fedora""",Black Chelsea Boots,"""Layered Silver Necklace""",Square Framed Glasses
Casual Elegant,Round Neck,Chinos,"Watch, Bracelet, Ring",Cap,Sneakers,Scarf,Round Glasses
Sportswear,Short Sleeve Polo Shirt,Sweatpants,Bracelet,Tennis Cap,Trainers,Gold Necklace,Sunglasses
Business Casual,Shirt (with collar),Jeans,"Chains, leather bracelet, loafers",Hat,Loafers,Chain necklace,Sunglasses
Sportswear,Sporty T-Shirt,Track Pants,Sporty Watch,Sports Cap,Sneakers,Sporty Necklace,Oversized Sunglasses
Casual Elegant,Short Sleeve T-Shirt,Loose Casual Trousers,Wrist Watch,Hat,Sneakers,Necklace,Classic Glasses Black
Sportswear,Sleeveless V-Neck T-Shirt,Navy Blue Straight Leg Jeans (Loose Fit),Black Leather Aviator Gloves,Black Feather Fedora Hat,Black Leather High Top Sneakers,Blue Leather Necktie,Grey Wayfarer Style Glasses
Sportswear,T-Shirt,Jeans,Watch and Wallet,Baseball Hat,Sneakers,None,Sunglasses
Vintage and Retro Inspired,Slim-fit Belted Sweater,Mottled plaid short,Grey leather belt with a silver buckle,Olive green knit beanie hat,Black high-top leather sneakers,Heritage style brown horn button necklace,Black-tinted round-frame glasses with a metal frame
Casual Wear,Round Neck T-Shirt,Straight Jeans,Wrist Watch,Beanie,Casual Shoes,Scarf,Rectangle Frames
Business Casual,Belted,Slim Fit Jeans,Metal Bracelet,Baseball Cap,Brown Leather Lace-Up,Rope Necklace,Round Glasses
Outdoor and Adventure Wear,Hooded Sweatshirt,Slim-fit Aviator Jeans,Trekking Glove,Beanie,Travel Boots,Scarf,Shade Sunglasses
Casual Wear,Slim Fit,Straight Fit,Watch,Cap,Lace Up,Necklace,Square
Vintage and Retro Inspired,Casual T-Shirt With Prints,Vintage-Inspired Jeans,No,No,Sneakers,No,Oval
Vintage and Retro Inspired,Chambray Shirt,Chinos,Hairpin,Flat cap,Sneakers,Necklace,Brown
Streetwear,T-Shirts,Skinny Jeans,Striped Knitted Gloves,Beanie,Low-top Sneakers,Necklaces,Aviator
Casual Elegant,Button-down Shirt,Dark Blue Jeans,"Watch, Bracelet",Cap,Loafers,Tie,Flat top frame glasses
Casual Wear,T-Shirt,Jeans,Bracelet,Cap,Sneakers,Scarf,Semi-Rimless
Business Casual,Solid dark blue button-up shirt,Dark blue chinos,Classic black leather belt with a gold buckle,Solid black fedora hat,Black leather oxfords,Black silk tie,Black wayfarer frame glasses
Vintage and Retro Inspired,A black and white striped shirt with a vintage vibe,A pair of blue jeans with a vintage wash and a worn-in look,A black leather belt and a brown leather wallet,A vintage-style Fedora hat in a brown shade,White canvas sneakers with a retro design,A brown leather watch with a vintage-style design,Brown-framed Ray-Ban Wayfarer sunglasses
Formal Wear,Casual Plaid Shirt,Dark Trouser,Formal Leather Belt,Formal Hat,Formal Shoes,Formal Neck Tie,Round Glasses
Business Casual,Long-Sleeved Shirt,Dress pants,Watch and Wristband,Suitable head accessories for business casual include a tie and dress shoes.,Dress shoes,Tie,Semi-Rimless
Outdoor and Adventure Wear,Rugby Shirt,Bermuda Shorts,Eye Wear,Cap,Sneakers,Necklace,Aviator
Sportswear,Button-down woven shirt,Slim fit chinos,Fingerless gloves,Hat,Sneakers,Scarf,Sunglasses
Casual Elegant,Solid Polo Shirt,Tapered Fit Jeans,Leather Belt,Baseball Cap,Casual Shoes,Basic Necklace,Rectangular Glasses
Vintage and Retro Inspired,"Long-sleeve, button-down shirt",Jeans,Sleek silver watch and brown leather belt,Beanie,White leather shoes,Necklace,Dark brown aviator glasses
Vintage and Retro Inspired,Hawaiian Shirt,Regular Jeans,Leather watch,Baseball Cap,Sandals,Silver Necklace,Round Glasses
Casual Elegant,Casual,Semi-Formal,Bracelets,Cap,Sneakers,Scarf,Sunglasses
Business Casual,Mid-thigh length straight pants,Straight pants,bronze cufflinks,pink floral pocket square,Black leather boots,Double-strand pearl necklace,Black wayfarer glasses
Sportswear,Crew Neck T-Shirt,Tapered Jeans,Golden Bangle,Blue and White Paisley Print Tie,Sneakers,Gold Chain,Black Round Sunglasses
Casual Wear,Round Neck T-shirt,Straight Fit Jeans,Watch,Cap,Sneakers,Necklace,Round Glasses
Formal Wear,Formal Shirt,Formal Trousers,Classic Watch,Corporate Cap,Oxfords,Corporate Tie,Classic Glasses
Business Casual,Shirt,Trousers,Cufflinks,Hat,Lace up,Tie,Round
Indian Traditional Wear,Kurta,Pyjama,Hand Jewellery,Safa,Sandals,Sunglasses,Wayfarer
Casual Wear,T-Shirt,Jeans,"Wallet, Watch, Wrist Band, Bracelet",Beanie,Trainers,Necklace,Aviators
Business Casual,White Shirt,Black Pants,Black Leather Belt,Black Leather Hat,Navy Blue Oxford Shoes,Black Leather Necktie,Black Glasses
Casual Elegant,Solid Shirt,Solid Pants (men),Casual Watch,Solid Cap,Solid Loafers,Casual Necklace,Casual Glasses
Business Casual,Long Sleeve Shirt,Chinos,Hands Free,Business Cap,Loafers,Hands-Free,Semi-Rimless
Business Casual,Shirt with collar,Suit pants,Watch,Tie,Brown Oxford Shoes,Tie,Slim Glasses
Casual Wear,T-shirt,Slim fit Jeans,Watch,Cap,Sneakers,Necklace,Sunglasses
Casual Elegant,Solid colour polo with a button-down collar,Black regular fit chino pants,Blue leather watch,Beige leather cap,Black leather sneakers,Blue knitted neck scarf,Brown metallic glasses
Casual Wear,Round Neck,Jeans,Brown Short Sleeve Shirt with Pockets,Watch,Casual Shoes,N/A,Round Glasses
Business Casual,Dress Shirt,Dress Pants,Wrist Watch,Tie,Dress Shoes,Neck Tie,Eyeglasses
Vintage and Retro Inspired,Plain Flat Front Trousers,Flat Front Trousers,Gold Plated Watch,Gold Plated Necklace,Suede Brogues,Gold Plated Necklace,Round Framed Glasses
Sportswear,Round neck,Straight leg jeans,Grey rubber watch,White Modern Beanie,White High Top Sneakers,Black Collar,Tortoise Shell
Preppy Style,Solid colored tee,Solid colored jeans,Hands in pockets,Baseball cap,Dark colored leather shoes,Turtleneck,Sunglasses
Business Casual,Shirt,Trousers,Watch,Formal Hat,Oxfords,Bow Tie,Round
Sportswear,Casual T-Shirt,Sporty Pants,Ring,Cap,Training Shoes,Casual Necklace,Sports Sunglasses
Casual Wear,T-shirt,Jeans,Leather Belt,Baseball Cap,Trainers,None,Black Framed Glasses
Business Casual,Contrast Lapel Blazer,Khaki Chinos,Metal Bracelet,Flat Cap,Brown Dress Shoes,Thick Chain Necklace,Plastic Black Frames
Business Casual,Long Sleeve Shirt,Dress Pants,Leather Belt,Hat,Derby Shoes,Necktie,Black Rectangular
Outdoor and Adventure Wear,Outdoor and Adventure Wear T-Shirt,Long Outdoor and Adventure Wear T-Shirt,Protective Gloves,Protective Hat,Outdoor and Adventure Wear Boots,Protective Neck Gaiter,Protective Sunglasses
Sportswear,Crew Neck,Slim Fit Jeans,Casual Watch,Baseball Cap,High-Top Sneakers,Sportswear Necklace,Sporty Glasses
Sportswear,Button-Down Shirt,Chinos,Beanie,Baseball Cap,Sneakers,Scarf,Round Glasses
Business Casual,Long Sleeve Shirt,Trousers,Fine White Polished Wooden Watch,Plain White Polished Cap,Simple Brown Business Shoes,Plain White Polished Thin Chain Necklace,Black Thin Frame Glasses
Vintage and Retro Inspired,Solid colour t-shirt,Black pants,Rope bracelet,Trucker cap or snap back cap,White sneakers,None,Black lenses
Casual Elegant,Casual,Slim fit Jeans (dark blue),"Black leather belt with silver buckle, Black leather bracelet with silver buckle, Black leather cuff bracelet with silver buckle, Men's black leather bracelet with silver buckle, Silver bracelet with round studs",Sports Cap,Men's Casual Sneakers (black),Necklace with silver pendant,Classic Rectangle
Sportswear,T-Shirt,Sporty-chic shorts,Sporty-chic bracelet,Short sporty cap,Sneakers,Basic necklace,Sporty-chic glasses
Casual Elegant,Cotton Shirts,Trousers,Men's Watches,Caps,Men's Shoes,Neck Ties,Sunglasses
Vintage and Retro Inspired,V-neck,Vintage-inspired jeans with a slim fit and medium wash,Retro-inspired wrist watch,Retro-inspired baseball cap,Vintage-inspired sneakers with a retro design,Vintage-inspired necklace with a chain pendant,Retro-inspired sunglasses with an aviator-style frame
Streetwear,"T-Shirt, White",Jeans,Watch,Beanie,Sneakers,None,Sunglasses
Sportswear,T-shirt,Jeans,Bracelets (1-2),Beanie,Trainers,Necklace,Sporty Sunglasses
Casual Wear,Polka dot Long Sleeve T-Shirt,Casual Pants,"Brown Watch, Leather Bracelet",Red Flat Cap,Casual Shoes,Pearl Necklace,Black Round Glasses
Casual Elegant,Solid White Cotton T-Shirt with White Print,Light Wash Blue Denim Jeans,Vintage Style Watch,Black Beanie with White 'New York' Print,Black Leather Lace-up Boots,Solid Black Necklace,Black Aviator Sunglasses
Indian Traditional Wear,Sherwani,White kurta,Pearl White Jhumka,Silver Crown,Sherwani Shoes,Pearl White Neckpiece,Sunglasses
Vintage and Retro Inspired,A shirt with a button-up collar and vertical stripes,Black skinny jeans with a ripped knee,Gold-plated cufflinks,A black fedora hat with a wide brim,Black leather boots with a low heel,"A black, thin leather necklace with a small pendant","Black, round shaped glasses with a thin metal frame"
Business Casual,White checkered button-down shirt with a black and white striped tie,Black dress pants with a subtle pattern,Black leather briefcase,Black leather dress shoes,Black leather dress shoes,Black silk tie,Black square-framed glasses
Vintage and Retro Inspired,Slim-fit V-neck sweater,Mid-rise jeans with a straight silhouette,Leather bracelets,Retro inspired fedora,Oxford shoes,Long necklace,Round glasses with metal rims
Casual Elegant,Solid T-Shirt,Light Wash Jeans,Classic Watch,Baseball Cap,Black Sneakers,Silver Chain,Round Glasses
Sportswear,Polos,Jeans,Watches,Hats,Sneakers,Necklaces,Sunglasses
Casual Wear,Men's Cotton Short Sleeve T-Shirt,Men's Shorts (Cargo),Men's Wrist Watch with Black Leather Strap,Men's Casual Hat,Men's Leather Casual Shoes,Men's Leather Casual Necklace,Men's Round Framed Glasses
Vintage and Retro Inspired,Slim fit dress shirt with removable collar and button-down collar,Cuffed chino pants,Aviator Sunglasses,Baseball Cap,Suede shoes,Bow Tie,Round Glasses
Casual Wear,Button down shirt,Dark washed skinny jeans,Black leather watch,No head accessories,Brown leather derby shoes,No neck accessories,Wayfarer style sunglasses
Formal Wear,Long Sleeve Shirt,Formal Trousers,Black Belt,Black Bow Tie,Black Dress Shoes,Black Bow Tie,Black Frames Glasses
Formal Wear,Royal Blue Solid Single Breasted 1-Button Blazer,Navy Blue Straight Leg Chinos,Navy Blue Leather Belt,Navy Blue Leather Cap,Navy Blue Leather Oxfords,Navy Blue Leather Bow Tie,Navy Blue Metal Frame Glasses
Outdoor and Adventure Wear,Regular Fit,Tapered Fit,Sports Watch,Baseball Cap,Pump,Regular Collar,Full Rim
Casual Elegant,Slim-fit cotton polo shirt with collar,Slim-fit jeans,Timeless watch,Classic Brown leather belt,Brown shoes,Classic Brown leather belt,Geometric Modern glasses
Casual Elegant,Flared,Straight,Rings,Hats,Casual Shoes,Necklaces,"Round, Rectangular, Square, Aviator"
Casual Elegant,Hoodie,Slim fit jeans,No accessories,No accessories,Casual shoes,No accessories,Sunglasses
Casual Elegant,Checkered,Solid,Rings,Casual Cap,Sneakers,Necklaces,Aviators
Sportswear,Round Neck T-Shirt,Sporty Shorts,Casual Watch,Cap,Sneakers,Scarf,Sunglasses
Indian Traditional Wear,Solid Fit,Pant,Wrist Watch,Headgear,Loafers,Thick Chain,Black Sunglasses
Business Casual,Shirt,Trousers,Wrist Watch,Cap,Sneakers,Neck Tie,Regular Glasses
Business Casual,Collared button-up shirt,Trousers,"Belt, Watch, Wallet, Bag, Hat, Gloves, Scarf",Cap,"Lace-up shoes, Oxfords","Necktie, Bowtie",Tortoiseshell glasses
Outdoor and Adventure Wear,Long sleeves thermal top,Slim fit Jeans,"Leather strap watch, black men’s leather belt, brown men’s leather belt",Men’s black woollen beanie,Black hiking shoes,Black men’s turtleneck,Black Aviator sunglasses
Business Casual,Solid Short Sleeve Shirt,Light Wash Jeans,Wood Watch,Beanie,Black Leather Boots,Chain Necklace,Black Sunglasses
Streetwear,Solid-color button-up shirt,Solid-color straight-leg jeans,Gold-tone watch,Toy-shaped earrings,White-colored casual shoes,Gold-tone necklace,Round-framed glasses
Business Casual,100% cotton straight cut button-down shirt with a regular fit,100% cotton straight cut regular fit chinos with a front zip fly and waist button closure,Metal Link Watch,Leather Belt,Brown Leather Shoes,Silk Tie,Brown Framed Glasses
Casual Wear,Athletic T-Shirt,Sporty Cargo Pants,Sports Watch,Baseball Cap,Suede Sport Shoes,Sports Necklace,Sporty Glasses
Business Casual,Plain Shirt,Chinos,Suede Loafers,Navy Blue Hat,Black Dress Shoes,Black Polo Neck,Black Square Frames
Casual Wear,T-Shirt,Slim Fit Jeans,Watch,Cap,Lace-up Shoes,Necklace,Aviator Sunglasses
Vintage and Retro Inspired,Easy fitted solid color or patterned t-shirt,Solid colour or patterned pants with a cuffed bottom,Vintage inspired bracelets and rings,Vintage inspired caps and hats,Boots,Vintage inspired scarves and necklaces,Round frames
Casual Wear,Solid T-Shirt,Smart Casual Trousers,Casual Watch,Casual Hat,Casual Shoes,Necklace,Semi-Rimless Glasses
