body_type,additional_features,dress_type,sleeve_type,necklace,bracelet,earrings,dress_design,accessory_design
Apple-shaped,busted,party wear,full length,choker,bangles,studs,Bodycon design,Bodycon design
Rectangle,broad shoulders,t shirt,short length,rounded,stacks,studs,fitted,minimalistic
Apple-shaped,busted,t shirt,mid length,choker,stacks,drop earrings,A-line with a v-neck,White on White
Inverted triangle,broad shoulders,t shirt,short length,choker,bangles,studs,Sleeveless dresses with a scoop neckline,Delicate and dainty
Rectangle,busted,kurti,one shouldered,choker,bangles,drop earrings,Casual Dress Design,Semi-Formal Accessory Design
Hourglass,broad shoulders,crop top,short length,rounded,charms,studs,Simple,"a set of colorful necklaces, a watch, and earrings"
Hourglass,optional,party wear,full length,choker,stacks,studs,A shirt dress with a high neckline and a full-length sleeve,A stack of necklaces with matching bracelets and studs
Pear-shaped,broad shoulders,t shirt,mid length,rounded,stacks,jhumka,straight cut design,"Wear long earrings and stacks of bracelets, while also wearing a necklace"
Apple-shaped,busted,kurti,short length,rounded,stacks,drop earrings,Straight dress design,"Pearl necklace, gold bracelets and drop earrings"
Pear-shaped,optional,kurti,mid length,choker,bangles,jhumka,A-line kurti with mid-length sleeves,"The necklace is a choker, the bracelet is bangles, and the earrings are jhumka. This combination suggests a bohemian or ethnic accessory design that complements the traditional Indian dress type. It could be a pair of bangles or a necklace with intricate designs and bold colors"
Hourglass,optional,kurti,mid length,v shape,stacks,studs,This dress design is suitable for a Hourglass body type with a kurti dress,"This accessory design would be a pair of simple stud earrings, a single strand of pearl necklace, and a stack of bracelets"
Pear-shaped,busted,crop top,sleeveless,v shape,stacks,studs,High waist,modern
Rectangle,optional,t shirt,short length,choker,bangles,drop earrings,plain with print,gold
Pear-shaped,broad shoulders,t shirt,full length,rounded,charms,drop earrings,Upright & straight,Silver and gold
Hourglass,busted,t shirt,puffy shoulder,choker,stacks,jhumka,The dress design should be form-fitting and accentuate the bust. It should be short or knee-length and showcase the hourglass figure. The dress should have a plunging neckline or a sweetheart neckline to highlight the bust.,"The accessory design should be bold and statement-making. It should complement the necklace, bracelet, and earrings. The accessories should be layered and have a mix of metals and textures. The necklace should be a choker, the bracelet should be chunky, and the earrings"
Hourglass,busted,t shirt,short length,choker,bangles,jhumka,"This dress design suits the body type, dress type, and sleeve type","This accessory design suits the given necklace, bracelet, and earrings"
Rectangle,optional,party wear,short length,v shape,bangles,jhumka,Unstitched Bodycon party wear dress,Bangles and earrings
Pear-shaped,broad shoulders,t shirt,full length,choker,stacks,drop earrings,belted with a v-neck,Modern and minimalist
Apple-shaped,busted,kurti,mid length,v shape,bangles,studs,Long shirt design with half sleeves,"Gold Jewelry on the neck, wrist and ear"
Rectangle,optional,party wear,short length,rounded,stacks,drop earrings,Straight dress design,Accessory design 1
Hourglass,optional,party wear,short length,rounded,bangles,studs,very slim skirt with ruffles,Golden chain with pearls
Pear-shaped,busted,party wear,one shouldered,choker,stacks,drop earrings,Halter Neck,metallic
Pear-shaped,busted,party wear,one shouldered,choker,charms,jhumka,One Shoulder High Neck,"Necklace: choker, bracelet: charms, earrings: jhumka"
Rectangle,optional,t shirt,mid length,v shape,bangles,drop earrings,A t-shirt with a dropped shoulder and a v-neckline would be perfect,"A beaded choker, bracelet with a cascading design, and hoop earrings that complement the v-neckline and the dropped shoulder"
Inverted triangle,broad shoulders,t shirt,short length,v shape,stacks,drop earrings,"Straight, high-low hemline, long sleeves",Wide necklines with ribbon details
Pear-shaped,broad shoulders,t shirt,short length,v shape,charms,drop earrings,Tie up sleeve,Charm bracelet and drop earrings
Hourglass,optional,crop top,short length,v shape,bangles,drop earrings,funky,Vintage
Pear-shaped,optional,kurti,short length,rounded,charms,drop earrings,"The dress design suitable for the given body type, dress type, and sleeve type is a flowy A-line kurti with a V-neckline, short sleeves, and a flowy hemline.","The accessory design suitable for the given necklace, bracelet, and earrings is a layered necklace with a pendant, a stacked bracelet with charms, and drop earrings with a beaded detail."
Hourglass,optional,party wear,sleeveless,v shape,charms,studs,fitted design,simple
Apple-shaped,busted,t shirt,puffy shoulder,rounded,bangles,drop earrings,Fitted long t shirt with puffy shoulder sleeves,"Long necklaces with a simple design that are not too long or short, Bracelets with a simple design, Earrings with a round shape and a simple design"
Pear-shaped,busted,party wear,puffy shoulder,rounded,stacks,drop earrings,This design is suitable for party wear dresses with puffy shoulder sleeve types and pear-shaped body types.,"This accessory design is suitable for the given necklace, bracelet, and earrings."
Hourglass,optional,party wear,puffy shoulder,v shape,charms,drop earrings,classic off-shoulder,modern
Inverted triangle,optional,kurti,short length,rounded,stacks,studs,"Straight design, A-line design, Linear design","Stacked rings, studs, and bangles"
Inverted triangle,optional,party wear,mid length,rounded,charms,studs,An off-shoulder option with a plunging neckline could be a perfect fit for a party wear dress with mid-length sleeves and a body type of inverted triangle.,"Earrings are usually styled with studs, and bracelets with charms, while necklaces are sometimes round."
Pear-shaped,optional,party wear,short length,rounded,stacks,drop earrings,A-line dress,long-length necklace with drop earrings and stacks of bracelets
Inverted triangle,optional,party wear,mid length,rounded,bangles,drop earrings,Fish tail mermaid,Chandelier earrings
Pear-shaped,busted,party wear,mid length,rounded,bangles,drop earrings,off-shoulder,"necklace: classic, bracelet: classic, earrings: studs"
Apple-shaped,busted,party wear,puffy shoulder,rounded,charms,jhumka,"Dress design suitable for the given body type, dress type, and sleeve type is a round neckline, knee-length dress with a puffy shoulder sleeve. The dress can be decorated with a keyhole design on the back. The dress can be paired with a round necklace, bangles, and stud","The accessory design suitable for the given necklace, bracelet, and earrings is a statement necklace, colorful bangles, and big earrings."
Hourglass,busted,t shirt,short length,choker,stacks,jhumka,Pleated sleeves,Pleated necklace
Rectangle,busted,party wear,full length,choker,charms,drop earrings,long sleeve,"Earrings: drop earrings, bracelet: charms, necklace: choker"
Pear-shaped,busted,party wear,puffy shoulder,v shape,stacks,drop earrings,"half sleeve, round neck, short length, full flare, plain, body con, party wear",small floral hoops
Apple-shaped,optional,party wear,short length,v shape,stacks,drop earrings,Bodycon dress with v-neckline,A v neckline dress with bracelet and earrings
Hourglass,optional,party wear,full length,v shape,stacks,drop earrings,fitted,simple hoops and chandelier earrings
Hourglass,optional,party wear,full length,v shape,charms,drop earrings,One shoulder gown,"Black chain bracelet, pearl drop necklace and black dainty hoop earrings"
Pear-shaped,optional,crop top,mid length,v shape,charms,studs,Straight,simple
Apple-shaped,broad shoulders,t shirt,puffy shoulder,choker,stacks,studs,"Boat-neck, Mock-neck, crew-neck, bateau-neck, and high-neck dress designs are suitable for apple-shaped body type with broad shoulders. These dress designs provide better balance to the body and accentuate the slimmer waist.","Anchor earrings, bracelet: bangles, necklace: choker, dress_design (Describe the dress design suitable for the given body type, dress type, and sleeve type): Boat-neck, Mock-neck, crew-neck, bateau-neck, and high-"
Rectangle,busted,t shirt,one shouldered,choker,bangles,jhumka,Halter t shirts,"Long necklaces, soft bracelets and dangling earrings"
Apple-shaped,broad shoulders,party wear,puffy shoulder,choker,charms,drop earrings,A-line dress,"Golden choker with dangling pendants, bracelet with charms, and earrings with dangling stones"
Pear-shaped,busted,kurti,mid length,choker,stacks,studs,Straight collar with two rows of buttons,Clean line
Inverted triangle,busted,party wear,mid length,rounded,stacks,drop earrings,free-flowing,Gold & diamond plated
Apple-shaped,optional,party wear,puffy shoulder,v shape,charms,drop earrings,long sleeve dress with v neckline and puffy shoulder,"golden v shape necklace, charms bracelet, and drop earrings"
Hourglass,busted,kurti,puffy shoulder,rounded,bangles,studs,"With a body type like Hourglass, you can choose a kurti with a puffy shoulder sleeve design. Additionally, wear a rounded necklace, bangles as bracelets, and studs as earrings to enhance your look.","With a rounded necklace, bangles as bracelets, and studs as earrings, you can complement your look with a matching necklace, bracelet, and earrings."
Hourglass,broad shoulders,party wear,short length,v shape,stacks,jhumka,deep v neckline,"Golden necklace, bracelet, and earrings"
Rectangle,optional,party wear,mid length,v shape,stacks,studs,short dress with mid length sleeves,golden chain and diamond
Pear-shaped,optional,party wear,puffy shoulder,rounded,bangles,drop earrings,Chiffon halter neck dress,"Rounded pearl choker necklace, bangle bracelet, and drop earrings"
Rectangle,busted,party wear,full length,rounded,stacks,studs,"This dress design would suit a rectangle body type and a party wear dress type with a full length sleeve. It would be best paired with a rounded necklace, stacks bracelet, and studs earrings.","This accessory design would suit a rounded necklace, stacks bracelet, and studs earrings."
Rectangle,optional,kurti,short length,v shape,bangles,jhumka,Collar patch with sleeveless,"A chain necklace, bangles, and jhumka"
Pear-shaped,busted,party wear,puffy shoulder,choker,bangles,studs,A-Line sheath dress with puffy shoulder sleeves,"Choker, bangles, and studs"
Apple-shaped,broad shoulders,party wear,puffy shoulder,v shape,stacks,studs,High boat neckline with frills,"black and golden, with a tassel"
Pear-shaped,broad shoulders,kurti,short length,rounded,stacks,drop earrings,Straight front dress design with a short length sleeve,"Necklace, bracelet, and earrings are fancy"
Apple-shaped,optional,party wear,full length,choker,charms,studs,Sleeveless with a keyhole neckline and a high slit at the front,"Layered necklaces with pearls and abstract designs, thin bracelets with charms and engravings, and stud earrings with abstract designs"
Rectangle,optional,kurti,full length,choker,stacks,drop earrings,"straight body, kurti, full length",Bold and big
Rectangle,optional,t shirt,sleeveless,rounded,stacks,jhumka,Crop top blouse,Earrings: jhumka
Pear-shaped,busted,t shirt,short length,rounded,bangles,drop earrings,dress design with round neck and short sleeves,accessory design with regular sized bracelets and earrings
Apple-shaped,busted,t shirt,mid length,choker,bangles,studs,Relaxed,Rose gold and rhinestones
Hourglass,optional,party wear,puffy shoulder,v shape,bangles,studs,flared,bangles with earrings
Rectangle,optional,t shirt,one shouldered,v shape,bangles,drop earrings,Dress design: Straight dress,Accessory design: A two strand necklace with drop earrings
Apple-shaped,busted,party wear,one shouldered,rounded,stacks,studs,fitted,golden accessories
Rectangle,optional,party wear,one shouldered,v shape,charms,drop earrings,Bodycon dress,Casual Accessories
Inverted triangle,broad shoulders,kurti,short length,choker,stacks,jhumka,Modern dress design with flared sleeves,Designs with geometric shapes and bold patterns
Rectangle,broad shoulders,party wear,mid length,rounded,charms,jhumka,the dress has a high neckline and a wide neckline.,simple
Hourglass,busted,t shirt,mid length,v shape,stacks,jhumka,"Bell sleeves, V-neck, and waterfall",Golden hoop dangling earrings
Pear-shaped,optional,kurti,mid length,choker,stacks,drop earrings,A-line hip-hugging kurti with a mid-length sleeve,"A simple look made sophisticated with a classic bracelet stack, a choker, and drop earrings"
Apple-shaped,busted,party wear,full length,choker,stacks,jhumka,Straight neckline with a deep v-neck,art-deco
Hourglass,optional,party wear,short length,v shape,charms,studs,Dress with a plunging neckline and puff sleeves,Bling accessories
Rectangle,optional,party wear,puffy shoulder,v shape,stacks,jhumka,shirt style,metallic accessories
Rectangle,broad shoulders,kurti,puffy shoulder,v shape,charms,drop earrings,Straight,"Necklace: v shape, Bracelet: charms, Earrings: drop earrings"
Rectangle,optional,party wear,puffy shoulder,choker,bangles,studs,a-line,simple
Rectangle,optional,t shirt,mid length,choker,bangles,studs,Fitted,Delicate
Rectangle,busted,t shirt,short length,choker,charms,drop earrings,Pencil Skirt,Mixed
Apple-shaped,optional,party wear,one shouldered,v shape,bangles,drop earrings,Split sleeve,Choker
Rectangle,busted,t shirt,short length,v shape,charms,drop earrings,A-line,Boon
Hourglass,broad shoulders,kurti,puffy shoulder,rounded,bangles,drop earrings,Ruffled sleeves with a round neckline,"A pair of drop earrings, a bracelet with bangles, and a necklace with rounded stones"
Apple-shaped,optional,t shirt,mid length,rounded,bangles,jhumka,Casual,Pastel colors
Pear-shaped,broad shoulders,party wear,mid length,rounded,bangles,jhumka,A-line dress with plunging neckline,Pear-shaped with broad shoulders
Hourglass,broad shoulders,t shirt,sleeveless,v shape,bangles,drop earrings,fashionable,classic
Hourglass,broad shoulders,kurti,puffy shoulder,choker,stacks,studs,The kurti with puffy shoulder sleeve is recommended for the hourglass body type with broad shoulders.,gold hoops with matching studs and choker
Hourglass,broad shoulders,kurti,short length,v shape,stacks,drop earrings,Straight neckline,Simple and adorable
Apple-shaped,broad shoulders,party wear,short length,choker,stacks,studs,Bold shoulders,A gold chain with a pendant and matching earring
Rectangle,busted,party wear,short length,rounded,stacks,drop earrings,"The dress design suitable for the given body type, dress type, and sleeve type is a bell sleeve party dress.","The accessory design suitable for the given necklace, bracelet, and earrings is a geometric drop earring, geometric bangle, and geometric necklace."
Rectangle,busted,party wear,one shouldered,rounded,stacks,studs,"Suitable for: Rectangle, party wear, one shouldered","Suitable for: rounded, stacks, studs"
Inverted triangle,broad shoulders,party wear,puffy shoulder,rounded,charms,jhumka,"off-shoulder, backless, asymmetric, and slits","large earrings, bracelet: bangle, necklace: pearl"
Pear-shaped,optional,party wear,puffy shoulder,choker,stacks,studs,High slit dress,silver chains
Apple-shaped,optional,t shirt,short length,choker,charms,studs,Sleeveless,Modern
Pear-shaped,busted,t shirt,mid length,rounded,bangles,drop earrings,Gathered at the neck and darts at the back,Long chains with beads
Rectangle,broad shoulders,party wear,mid length,choker,stacks,drop earrings,Sweetheart Neckline,Athleisure
Apple-shaped,busted,t shirt,short length,choker,stacks,jhumka,Fit and Flare,Solid color
Hourglass,busted,party wear,full length,choker,stacks,drop earrings,off-shoulder,A mix and match of all the three
Pear-shaped,optional,party wear,sleeveless,rounded,stacks,drop earrings,"Body-hugging, strapless design",Rings and bangles
Hourglass,optional,kurti,short length,rounded,bangles,drop earrings,Indian Wear,Modern
Pear-shaped,optional,party wear,full length,v shape,stacks,studs,V-Neck,Sparkling accessories
Pear-shaped,broad shoulders,t shirt,mid length,rounded,stacks,drop earrings,chic,modern
Inverted triangle,optional,party wear,sleeveless,v shape,stacks,jhumka,sweetheart neckline dress,v shaped necklace with heavy stones and bracelet with small stones and earrings with heavy stones
Hourglass,busted,party wear,one shouldered,rounded,bangles,studs,Backless dress,Black studs and black bangles
Pear-shaped,optional,kurti,short length,v shape,bangles,jhumka,Design 1: A flowy kurta with a dramatic neckline and a long chanderi dupatta with embroidery detailing.,"Design 4: A long necklace with a pendant, a bracelet with studs, and a pair of jhumka earrings."
Rectangle,optional,t shirt,puffy shoulder,rounded,bangles,jhumka,"square neck, quarter length sleeve",classic
Apple-shaped,optional,t shirt,short length,rounded,charms,drop earrings,shirt sleeve dress,Modern
Pear-shaped,optional,party wear,mid length,rounded,stacks,drop earrings,"This dress is perfect for a pear-shaped body type and has party wear style. The dress has mid length sleeves and is decorated with round necklace, stack bracelets, and drop earrings.","This necklace, bracelet, and earrings combination is suitable for a party wear style dress."
Apple-shaped,busted,party wear,mid length,v shape,stacks,studs,Half sleeves with a round neck,"Accessory design suitable for given necklace, bracelet, and earrings:"
Hourglass,busted,t shirt,mid length,rounded,charms,jhumka,"Bodycon, loose fit",White beaded jewelry
Hourglass,optional,kurti,short length,choker,stacks,jhumka,A-line dress design is suitable,"The accessory design suitable for the given necklace, bracelet, and earrings is a combination of choker, stacks, and jhumka"
Apple-shaped,optional,kurti,puffy shoulder,choker,charms,studs,long kurti with puffy shoulder,minimal with chain
Apple-shaped,optional,party wear,puffy shoulder,rounded,charms,drop earrings,Slightly flared,Bold and colorful
Hourglass,optional,party wear,sleeveless,v shape,stacks,jhumka,"navy blue, black, and silver lace with shimmery sequins on it",metallic
Inverted triangle,busted,kurti,short length,v shape,stacks,studs,"Dress design with round neck, round cut hem, straight hem and side pockets","Earrings: studs, bracelet: stacks, necklace: v shape, accessory_design (Describe the accessory design suitable for the given necklace, bracelet, and earrings): Accessory design with multiple bracelets of different designs, multiple necklaces of different designs and stud ear"
Hourglass,optional,party wear,one shouldered,rounded,stacks,drop earrings,"The dress design suitable for the given body type, dress type, and sleeve type is a one-shouldered dress with a V-neckline and a fitted silhouette. The dress should be made from a stretchy fabric that hugs the body and accentuates the hourglass figure. The dress can","The accessory design suitable for the given necklace, bracelet, and earrings is a combination of stacked bracelets, drop earrings, and a rounded necklace. The bracelets should be a mix of metal and stone bangles that complement the dress design and the overall look. The earrings should be"
Apple-shaped,busted,party wear,short length,choker,stacks,studs,Straight cut,Sweet and simple
Apple-shaped,optional,crop top,full length,choker,stacks,jhumka,"Crop tops are fitted at the torso, with a hemline ending above the waist. They are designed to be worn with high waisted bottoms, such as jeans or high-waisted skirts. Crop tops can be paired with any bottoms, but they look best when the waist is emphas","The necklace, bracelet, and earrings are all simple and elegant. They will suit a classic and timeless look."
Apple-shaped,busted,kurti,short length,v shape,charms,drop earrings,plain with sequin work,Designer-wear
Rectangle,broad shoulders,crop top,sleeveless,v shape,charms,jhumka,Casual,Simple and trendy
Hourglass,optional,kurti,short length,rounded,bangles,drop earrings,floral print,plain
Pear-shaped,optional,party wear,short length,v shape,bangles,studs,"Mini dresses with a body-hugging fit are highly recommended for pear-shaped bodies with narrow shoulders and a fuller hip. This dress type helps to balance the curves, accentuating the waist while highlighting the shoulders. The short length sleeves add a touch of elegance and style, making","A simple and elegant accessory design with matching bangles, stud earrings, and a v-shaped necklace would be suitable. This combination of accessories would complement the dress design and enhance the overall look."
Hourglass,optional,t shirt,short length,choker,stacks,studs,classic,simple
Hourglass,busted,kurti,one shouldered,rounded,stacks,drop earrings,"A-line dress with a sleeveless, one-shouldered sleeve",Rings
Apple-shaped,broad shoulders,kurti,puffy shoulder,choker,stacks,drop earrings,It is a flowy dress with a deep neckline and long sleeves. It is designed to create a relaxed and comfortable look.,"The accessories for this outfit are simple and elegant. The choker necklace adds a touch of sophistication, while the stacks bracelet and drop earrings create a feminine and delicate look. Overall, the accessories complement the outfit and add a touch of glamour without being too over-the-top."
Hourglass,broad shoulders,kurti,full length,choker,bangles,studs,Asymmetrical,classic
Hourglass,optional,t shirt,short length,rounded,bangles,studs,plain,minimal
Hourglass,optional,party wear,sleeveless,choker,bangles,studs,Bodycon,Boho
Hourglass,optional,party wear,one shouldered,v shape,stacks,drop earrings,strapless dress with a v-neckline,"A combination of accessories that complements the necklace, bracelet, and earrings."
Apple-shaped,busted,party wear,mid length,choker,bangles,studs,A-Line,A choker with a pair of bangles and studs earrings
Apple-shaped,optional,party wear,puffy shoulder,rounded,stacks,studs,Design the dress with a plunging neckline and a full skirt with an A-line shape.,"Design a simple pendant necklace with small stones and a choker neckline. For the bracelets, design a set of cuff bracelets with beaded detailing and a silver finish. For the earrings, design small stud earrings with delicate stones to complement the necklace."
Rectangle,optional,kurti,short length,rounded,charms,drop earrings,"Dress design with a round neckline, short sleeves, and a loose fit","Accessory design with pendants, beads, and dangling earrings"
Hourglass,busted,t shirt,full length,rounded,bangles,drop earrings,Bell sleeve,metallic
Pear-shaped,optional,party wear,one shouldered,choker,stacks,drop earrings,belted,"necklace: choker, bracelet: stacks, earrings: drop earrings"
Rectangle,busted,party wear,full length,rounded,charms,jhumka,one shoulder,handcrafted
Pear-shaped,optional,party wear,one shouldered,rounded,stacks,studs,"Pear-shaped, party wear, one shouldered",Dainty
Rectangle,optional,party wear,one shouldered,rounded,bangles,studs,"rounded neck, flared skirt, round neck, flared skirt",long earrings
Apple-shaped,busted,t shirt,full length,v shape,charms,studs,short,simple
Rectangle,optional,t shirt,short length,choker,bangles,jhumka,it is a v neckline with a round neckline,minimalist
Pear-shaped,busted,party wear,mid length,choker,stacks,drop earrings,"The dress design suitable for the given body type, dress type, and sleeve type is a sleeveless dress with a v-neckline and a fitted bodice that emphasizes the waist and flatters the pear-shaped figure.","The accessory design suitable for the given necklace, bracelet, and earrings is a choker necklace with a small pendant, stackable bracelets, and drop earrings to complement the necklace and bracelet."
Pear-shaped,busted,crop top,mid length,choker,bangles,jhumka,drop shoulder,"Double bun, chiffon bun, double knot bun, crown bun, flowers in bun, braided bun, messy bun, updo"
Hourglass,busted,kurti,short length,rounded,bangles,drop earrings,Bodycon dress,"Diamond and silver necklace, bracelet, and earrings"
Rectangle,optional,t shirt,short length,choker,stacks,jhumka,plain,plain
Hourglass,busted,kurti,mid length,v shape,stacks,drop earrings,bustier,go for gold necklace and hoop earrings <br/>with a wristlet.
Hourglass,optional,party wear,sleeveless,rounded,stacks,drop earrings,One shoulder,Small flower necklace and small flower earrings with small crystal stone bracelet
Rectangle,optional,t shirt,full length,v shape,charms,drop earrings,Cropped t shirt,Bracelets are your best friend.
Pear-shaped,busted,kurti,full length,rounded,stacks,jhumka,Neat sleeve,Simple
Apple-shaped,optional,t shirt,mid length,choker,bangles,studs,Sleeveless dress with a V-neckline and a hemline at the knee,"A simple necklace, bracelet, and earrings set with a minimalistic design"
Rectangle,optional,crop top,short length,v shape,bangles,jhumka,neckline: V-Neck,simple
Apple-shaped,busted,t shirt,short length,choker,stacks,drop earrings,A-line,"Necklace: silver hoops, bracelet: bangles, earrings: studs"
Hourglass,busted,party wear,one shouldered,rounded,stacks,drop earrings,Deep v neckline,A silver ring with a large emerald stone
Apple-shaped,busted,t shirt,full length,choker,stacks,drop earrings,sweetheart neckline,cuffs and necklaces
Pear-shaped,busted,party wear,short length,choker,bangles,studs,Tie Front,"A gold necklace, bangles, and studs"
Rectangle,busted,party wear,puffy shoulder,v shape,stacks,studs,Full sleeves with puffy shoulder,"Statement Necklace, Bracelets, and Earrings"
Hourglass,busted,party wear,puffy shoulder,choker,stacks,studs,Fitted,Red hot
Hourglass,busted,crop top,puffy shoulder,v shape,stacks,drop earrings,Ideal for hourglass body type. It is a crop top dress with puffy shoulder sleeve.,Modern
Rectangle,optional,party wear,short length,v shape,bangles,studs,spaghetti strap,"accessory design suitable for the given necklace, bracelet, and earrings: Diamond studs, Bracelet, and V Shape Necklace"
Pear-shaped,busted,kurti,mid length,rounded,bangles,studs,Crop Top,Minimalistic
Rectangle,optional,crop top,full length,choker,bangles,studs,One shoulder,Makeup with light brown eyeshadow and pink lipstick
Rectangle,optional,party wear,short length,choker,bangles,studs,Straight cut with a scoop neckline,Minimal
Apple-shaped,optional,t shirt,full length,v shape,stacks,studs,long and loose,Horizontal earrings
Apple-shaped,busted,party wear,full length,choker,stacks,studs,"A strapless, sweetheart neckline dress with a ruched bodice and a flared skirt","A choker necklace with a silver pendant, stacked bracelets with beads and charms, and small stud earrings"
Apple-shaped,optional,kurti,short length,choker,stacks,drop earrings,"A-line, Loose Fit, Shift","Accessorize with a choker necklace, stackable bracelets, and drop earrings to create a refined and sophisticated look."
Rectangle,busted,party wear,sleeveless,rounded,bangles,jhumka,Straight cut,Gold and black tassel earrings
Rectangle,busted,crop top,short length,choker,stacks,studs,Bell sleeves,Chain
Apple-shaped,broad shoulders,party wear,puffy shoulder,rounded,bangles,drop earrings,drop waist dress,festive
Pear-shaped,broad shoulders,party wear,short length,v shape,bangles,studs,Fitted bodice with full skirt,Funky
Inverted triangle,optional,crop top,puffy shoulder,choker,stacks,studs,long sleeve,"gold wavy hoops, gold cuffs"
Rectangle,optional,crop top,sleeveless,v shape,bangles,studs,dress top for rectangle body types with crop top dress type and sleeveless sleeve type,"golden necklace, golden bracelet, golden earrings"
Hourglass,optional,kurti,mid length,rounded,stacks,jhumka,Rounded kurti with round neckline in a single layer.,Pair of medium length earrings with a tribal design
Hourglass,optional,crop top,one shouldered,choker,bangles,drop earrings,"The dress design suitable for the given body type, dress type, and sleeve type is a one-shouldered crop top with a high-low hemline.","The accessory design suitable for the given necklace, bracelet, and earrings is a mix of choker, bangles, and drop earrings."
Inverted triangle,broad shoulders,kurti,mid length,rounded,stacks,studs,V neckline with open back,Delicate and understated
Pear-shaped,busted,kurti,one shouldered,v shape,stacks,studs,Flares,Show some accessories to match the necklace and earrings.
Pear-shaped,optional,crop top,full length,choker,stacks,drop earrings,chic,simple
Hourglass,broad shoulders,party wear,mid length,v shape,bangles,studs,fitted at the waist dress design,"A classic multi-strand necklace, a pair of bangle bracelets with small beads, and small stud earrings"
Hourglass,busted,party wear,short length,rounded,charms,jhumka,Empire waist,casual
Rectangle,optional,kurti,full length,v shape,bangles,jhumka,straight neck kurti with full length sleeve,Simple and small gold jewellery
Rectangle,optional,party wear,sleeveless,choker,charms,jhumka,Straight dress design with straight neckline,"Peacock Earrings, Long Jewelry Necklace, and Multi-Strand Bracelet"
Hourglass,broad shoulders,t shirt,full length,rounded,stacks,drop earrings,V-Neck with ruffles or pleats,Rounded necklaces and earrings with broad shoulders will look good with stacks of bracelets
Apple-shaped,optional,t shirt,short length,v shape,stacks,drop earrings,Loosely fitted dress with one shoulder design,"Necklace: v shape, bracelet: stacks, earrings: drop earrings"
Hourglass,optional,party wear,mid length,choker,bangles,studs,Balloon Sleeves,Chunky
Rectangle,optional,party wear,puffy shoulder,choker,bangles,drop earrings,"This lengthy dress has a puffy shoulder sleeve that falls straight, and it is calf length.",Bangles and earrings
Hourglass,optional,t shirt,mid length,v shape,stacks,drop earrings,Strapless with ruffled hem,Pearls and diamonds
Rectangle,optional,party wear,short length,choker,charms,drop earrings,embroidered and sequins,"Necklace=choker,Bracelet=charms,Earrings=drop earrings,Accessory Design=pendants"
Pear-shaped,broad shoulders,party wear,mid length,rounded,charms,studs,"Backless, long sleeves, empire waist, halter neck, cold shoulders, v-neck, embellishments, floral prints",Contemporary
Hourglass,optional,party wear,full length,choker,stacks,jhumka,Straight fit body con dress with full length sleeve,"Bolero neckline with gold studs, gold and diamond bracelets with gold and diamond rings, and gold and diamond studs with gold and diamond earrings"
Hourglass,broad shoulders,party wear,puffy shoulder,rounded,stacks,jhumka,Elbow length puffy shoulder sleeve,Bracelets and earrings stacked
Inverted triangle,busted,crop top,one shouldered,v shape,bangles,jhumka,Casual,Black and yellow
Pear-shaped,broad shoulders,party wear,sleeveless,rounded,charms,drop earrings,A-line dress with round neckline and short sleeves,"Accessories: Turquoise gemstone necklace, silver-plated bangles with gemstone inlays, and gold-tone drop earrings"
Hourglass,optional,party wear,sleeveless,choker,stacks,studs,V-neck,"small gold hoops, gold chain, and black choker"
Pear-shaped,busted,party wear,short length,rounded,charms,jhumka,The sleeve style for this dress should be off-shoulder and the neckline should be round neck,"The accessories should be minimal and not too flashy. The necklace, bracelet, and earrings should complement each other and not overpower the dress."
Pear-shaped,busted,t shirt,sleeveless,v shape,stacks,jhumka,Sweetheart neckline with off-shoulder sleeveless design,"Gold plated necklace, bracelet, and earrings"
Rectangle,busted,party wear,sleeveless,rounded,charms,jhumka,A-line Gown,Glamour
Rectangle,broad shoulders,party wear,full length,choker,bangles,studs,Empire waist with a V-neckline,Elegant
Apple-shaped,busted,party wear,short length,choker,bangles,jhumka,full length flared dress,jewellery
Rectangle,optional,party wear,short length,rounded,bangles,drop earrings,fitted waist,simple
Hourglass,busted,party wear,short length,rounded,stacks,drop earrings,Bodycon dress,Necklace and earrings in gold with bracelets in silver
Hourglass,busted,party wear,full length,choker,stacks,jhumka,Ballroom gown with bells,Ethereal accessories
Hourglass,optional,party wear,full length,rounded,stacks,studs,A-line,dangling studs
Pear-shaped,busted,party wear,puffy shoulder,rounded,charms,studs,A-line with puffy shoulder and v-neck,beautiful
Inverted triangle,busted,crop top,full length,rounded,stacks,studs,casual dress,Modern
Hourglass,optional,kurti,short length,rounded,stacks,drop earrings,A-line,A-line dress with minimalist neckline and bracelet
Apple-shaped,broad shoulders,party wear,full length,v shape,stacks,studs,fitted,golden
Hourglass,optional,kurti,mid length,rounded,bangles,studs,Borders and flowers,"French knots, Italian knots, and beads"
Apple-shaped,optional,party wear,sleeveless,rounded,stacks,drop earrings,cold shoulder,casual
Hourglass,optional,crop top,one shouldered,choker,stacks,drop earrings,This dress is designed with a one-shouldered sleeve that is perfect for hourglass body types. It is a crop top that is perfect for showing off your body and can be styled with a variety of accessories to complete the look.,"The accessory design will include a choker necklace, stacked bracelets, and drop earrings. This combination of accessories will accentuate your features and make you look fashionable."
Rectangle,busted,crop top,full length,rounded,stacks,studs,Sweetheart neckline,Dainty
Inverted triangle,broad shoulders,party wear,sleeveless,choker,bangles,studs,A-line,Simple
